scen,country,period,gini,region,dgini_edu,dgini_eduspend,gini_nomig,relgini,worldregion,reldif
SSP4,CHN,2025,0.48069351,156,-3.588832793839647e-5,4.465276440298073e-5,0.4806847455635354,-1.8232899513415113e-5,ASIA,1.8233231958042495e-5
SSP4,CIV,2025,0.504450476,384,0.0027070905970229997,-0.002136499449967256,0.5038798848529443,-0.0011311143000204416,AFR,0.0011323951683885891
SSP4,CMR,2025,0.501460752,120,9.429459755250458e-5,0.00015186837987507737,0.5012145890225723,-0.0004908918124616468,AFR,0.0004911329055836688
SSP4,COD,2025,0.497671693,180,0.00030629323745476794,-8.035327676922666e-5,0.4974457530393145,-0.00045399399616952163,AFR,0.00045420020033359876
SSP4,COG,2025,0.476003337,178,0.00041780826545172243,-0.0002673336790659277,0.47585286241361424,-0.00031612086447574406,AFR,0.000316220828477487
SSP4,COL,2025,0.57894562,170,-0.00019227277458136487,0.0005432464540793943,0.578594646320502,-0.0006062290953995353,LAC,0.0006065968320483339
SSP4,COM,2025,0.629419948,174,-0.00040782107502179867,0.0011080610304879195,0.6287197080445339,-0.0011125163059910737,AFR,0.0011137553770088626
SSP4,CPV,2025,0.542019948,132,-0.0006901682973050952,0.002727452511270481,0.5399826637860345,-0.0037586886266507413,AFR,0.003772869668965395
SSP4,CRI,2025,0.42502747,188,-0.00044218639902632827,-0.0007767746216807588,0.4262464310207071,0.0028679582068120713,LAC,-0.00285975654456061
SSP4,CUB,2025,0.28224633,192,-0.0001764481854766976,0.0010048273745404744,0.2814179508109362,-0.0029349511437892772,LAC,0.002943590437911814
SSP4,CYP,2025,0.33233404,196,-0.0044989257063371806,-0.001546071972574633,0.3383790376789118,0.018189523044078726,EUR,-0.017864574946418244
SSP4,CZE,2025,0.2980151,203,-0.0006243258922718329,-0.00018185608189754884,0.29882128197416935,0.0027051715640227236,EUR,-0.00269787335374283
SSP4,DEU,2025,0.31914587,276,-0.0028519079838511445,-0.0008709308560983779,0.3228687088399495,0.01166500710145324,EUR,-0.011530503693979788
SSP4,DJI,2025,0.516384456,262,0.0068196926178274225,,,,AFR,
SSP4,DNK,2025,0.25834444,208,-0.0015535612612803686,-0.001312464140239561,0.26121046540151993,0.011093814914383104,EUR,-0.010972092550405321
SSP4,DOM,2025,0.56583084,214,-0.0007785864352813235,0.0011341990595458234,0.5654752273757354,-0.0006284786885503157,LAC,0.0006288739224082907
SSP4,DZA,2025,0.42277299,12,-0.0003893617809812037,0.0007468362285314122,0.4224155155524498,-0.0008455470335277937,AFR,0.0008462625883489672
SSP4,ECU,2025,0.41982227,218,-0.00018004824368834826,0.0002112453554059582,0.4197910728882824,-7.431028305771026e-5,LAC,7.431580548611372e-5
SSP4,EGY,2025,0.37974633,818,-0.0003245307657907028,0.0004782292943943935,0.3795926314713963,-0.00040473999736534427,AFR,0.00040490387815994566
SSP4,ERI,2025,0.510635144,232,-6.208683584718934e-5,,,,AFR,
SSP4,ESP,2025,0.33352272,724,-0.001970404719288154,-0.0010437600222835165,0.3365368847415717,0.009037359558508262,EUR,-0.008956417195952415
SSP4,EST,2025,0.36028496,233,-0.005217826917884093,0.0004310848769469182,0.36507170204093714,0.013285989070809912,EUR,-0.013111786024983085
SSP4,ETH,2025,0.40394633,231,0.0008156514043527686,-0.0003940726535037698,0.40352475124915105,-0.0010436504048668693,AFR,0.001044740748972428
SSP4,FIN,2025,0.27360743,246,-0.0015016617869038679,-0.00010963026528874001,0.2752187220521926,0.005889065410952465,EUR,-0.005854587363017583
SSP4,FJI,2025,0.501128561,242,-0.002139353688110304,0.0023866777129165424,0.5008812369751938,-0.0004935340829759216,OCE,0.0004937777791393927
SSP4,FRA,2025,0.29677956,250,-0.002477057485532988,-0.0008714698626096471,0.30012808734814267,0.011282877257930757,EUR,-0.01115699426111505
SSP4,GAB,2025,0.496145688,266,0.0005500760374484389,-0.0014966361460040463,0.49709224810855557,0.0019078269376304746,AFR,-0.0019041940648989453
SSP4,GBR,2025,0.34972336,826,-0.0029200368530386297,-0.0007238720086808287,0.3533672688617195,0.010419403673004535,EUR,-0.010311959207363497
SSP4,GEO,2025,0.433214183,268,-0.004431737567594894,0.002939346041107057,0.4347065745264878,0.0034449276710033505,EUR,-0.0034331008867612978
SSP4,GHA,2025,0.501045513,288,0.0003201691307201486,0.00021904807310154124,0.5005062957961782,-0.0010761840787540944,AFR,0.00107734349867461
SSP4,GIN,2025,0.419543982,324,0.0014941983684255982,0.0003506905801513824,0.417699093051423,-0.004397367207562453,AFR,0.004416789452664327
SSP4,GMB,2025,0.543419948,270,0.0019810746378952416,-0.0009387946151430715,0.542377667977248,-0.0019180010350891008,AFR,0.0019216868324227754
SSP4,GNB,2025,0.576719948,624,-0.0005036888324644641,0.0026151462271368775,0.5746084906053276,-0.003661148538375958,AFR,0.0036746018013902315
SSP4,GNQ,2025,0.510635144,226,0.0018666928496777037,-0.00256199961591174,0.5113304507662341,0.0013616508272178418,AFR,-0.0013597992554368332
SSP4,GRC,2025,0.35023441,300,-0.002789603097826978,-0.00047922668150466864,0.3535032397793317,0.0093332627691598,EUR,-0.009246958475888967
SSP4,GTM,2025,0.56431412,320,-0.0005488858253790863,0.0010963512654914875,0.5637666545598876,-0.0009701430829205382,LAC,0.0009710851744855198
SSP4,GUY,2025,0.454882166,328,-0.002591211529912537,0.006071823702122278,0.45140155382779024,-0.007651678681572571,LAC,0.007710678314451602
SSP4,HKG,2025,0.557119948,344,-0.00855404648825606,-0.0012648901330868459,0.5669388846213429,0.01762445709688154,ASIA,-0.01731921532935765
SSP4,HND,2025,0.584119948,340,-0.00012087466505873938,0.0005989459377647055,0.5836418767272941,-0.000818447091805119,LAC,0.0008191174961376113
SSP4,HRV,2025,0.325677214,191,-0.0019700869292627703,0.0005046856702819758,0.32714261525898075,0.004499551076916131,EUR,-0.004479395806690212
SSP4,HTI,2025,0.616829039,332,-0.00041033159925678216,0.0012166832283651411,0.6160226873708916,-0.0013072530281901251,LAC,0.001308964175572358
SSP4,HUN,2025,0.288193,348,-0.0012096216136823158,-0.00012058549961572116,0.28952320711329804,0.004615681551245476,EUR,-0.004594474918128144
SSP4,IDN,2025,0.424407931,360,-5.928362125324716e-5,0.00014618902353825237,0.424321025597715,-0.00020476856330242654,ASIA,0.00020481050205467533
SSP4,IND,2025,0.45924938,356,5.033395770200039e-5,2.8849244894494157e-6,0.45919616111780853,-0.00011588231690473627,ASIA,0.00011589574717252304
SSP4,IRL,2025,0.33308727,372,-0.004960530594869974,0.0003579858366151473,0.33768981475825477,0.013817834461985923,EUR,-0.013629504228753975
SSP4,IRN,2025,0.469771935,364,-7.905515612816967e-5,-0.00011142662783759597,0.4699624167839657,0.0004054771470451968,ASIA,-0.00040531280196665076
SSP4,IRQ,2025,0.38124633,368,-0.00024306912449252954,0.0005132090398071969,0.38097619008468536,-0.0007085705331633108,ASIA,0.0007090729613696833
SSP4,ISL,2025,0.281093403,352,-0.0019718373720281866,0.0002476818960018254,0.28281755847602635,0.0061337457856538435,EUR,-0.0060963523103622075
SSP4,ISR,2025,0.38392513,376,-0.0035838265453691266,-0.001885859580109377,0.38939481612547855,0.01424675203073722,ASIA,-0.014046633131643893
SSP4,ITA,2025,0.32638027,380,-0.000670222609225349,-0.0003284204048075226,0.3273789130140328,0.00305975301151884,EUR,-0.003050419481324562
SSP4,JAM,2025,0.63253803,388,-0.0010734739651774342,0.004611692998065677,0.6289998109671118,-0.005593685857731234,LAC,0.005625151186370081
SSP4,JOR,2025,0.40884633,400,-0.00031082034787768885,-0.0033984210229962585,0.41255557137087395,0.009072458522188409,ASIA,-0.008990889054166895
SSP4,JPN,2025,0.331581713,392,-0.0006612192717883802,-2.0203608030096195e-5,0.3322631358798185,0.0020550677347470625,ASIA,-0.002050853092727567
SSP4,KAZ,2025,0.28499767,398,-0.0023674432207872846,0.00046752694189162016,0.28689758627889567,0.006666427409373954,ASIA,-0.006622280457419971
SSP4,KEN,2025,0.555219948,404,0.00012241867853428568,-7.915275647791876e-5,0.5551766820779437,-7.792573413856196e-5,AFR,7.793180703186131e-5
SSP4,KGZ,2025,0.288684339,417,-0.0006985089001399544,0.0006210603622681841,0.2887617875378718,0.0002682810509917477,ASIA,-0.00026820909557367933
SSP4,KHM,2025,0.38924633,116,0.0005350296886366589,0.00011344242798438418,0.3885978578833789,-0.0016659684797055707,ASIA,0.0016687485622106646
SSP4,KOR,2025,0.39874633,410,-0.0010344110001717344,4.158659074477586e-5,0.3997391544094269,0.002489864695248478,ASIA,-0.002483680666442889
