orig,dest,distance
AFG,DNK,6472.972288830864
AFG,DOM,15515.186898646918
AFG,DZA,7357.315555486801
AFG,ECU,16581.30068723293
AFG,EGY,4228.815587136643
AFG,ERI,3553.157053030425
AFG,ESH,9180.551269231944
AFG,ESP,8118.099106461882
AFG,EST,5208.356214577336
AFG,ETH,3710.116238304722
AFG,FIN,5203.437305991161
AFG,FJI,11229.311842542667
AFG,FLK,15700.572604440296
AFG,FRA,7508.92376170666
AFG,FRO,8707.448391644975
AFG,GAB,7079.827576815143
AFG,GBR,7813.052351879732
AFG,GEO,2737.402781474005
AFG,GHA,8016.153138355316
AFG,GIB,8290.077342958142
AFG,GIN,9418.61925823372
AFG,GLP,14633.291986562264
AFG,GMB,9694.463528312159
AFG,GNB,9597.737523373762
AFG,GNQ,7074.149669100239
AFG,GRC,5057.485786426011
AFG,GRD,14670.452456010971
AFG,GRL,13663.088520262476
AFG,GTM,17759.5873859172
AFG,GUF,13728.768756921774
AFG,GUM,8278.209082748166
AFG,GUY,14336.644730917205
AFG,HKG,4977.037213086768
AFG,HND,17410.911501867256
AFG,HRV,5969.072952466634
AFG,HTI,15782.279322574364
AFG,HUN,5646.919559673441
AFG,IDN,3922.117851346164
AFG,IMN,8328.740229438854
AFG,IND,913.2736024117547
AFG,IRL,8512.756408343213
AFG,IRN,1975.3318525585198
AFG,IRQ,2756.08306324082
AFG,ISL,10403.888059649567
AFG,ISR,3780.658511918452
AFG,ITA,6327.3889418673025
AFG,JAM,16273.675183897889
AFG,JOR,3699.140931383715
AFG,JPN,7843.222237339441
AFG,KAZ,670.5981588799169
AFG,KEN,4196.330264428298
AFG,KGZ,666.6382945870234
AFG,KHM,3895.7847260331887
AFG,KIR,11170.714918704693
AFG,KNA,14733.505705441521
AFG,KOR,6427.2140790302
AFG,KWT,2373.9578532740966
AFG,LAO,3680.629660348163
AFG,LBN,3747.3190795803666
AFG,LBR,9162.604081035182
AFG,LBY,6228.115237374337
AFG,LCA,14569.42128197643
AFG,LIE,6697.065190840014
AFG,LKA,1411.7666317313183
AFG,LSO,6142.333080287747
AFG,LTU,5060.506181071682
AFG,LUX,7098.757136752332
AFG,LVA,5229.721050921231
AFG,MAC,4905.599054839241
AFG,MAR,8453.853173599746
AFG,MCO,6901.667479794979
AFG,MDA,4556.0457822476465
AFG,MDG,3742.335362595021
AFG,MDV,1166.2428267788566
AFG,MEX,18660.970297105538
AFG,MHL,11111.387630591082
AFG,MKD,5334.001441382617
AFG,MLI,8748.89316345337
AFG,MLT,6080.150121208539
AFG,MMR,2980.6401243448518
AFG,MNE,5577.750189113681
AFG,MNG,4165.148327774389
AFG,MNP,8409.311857879322
AFG,MOZ,5493.01811409647
AFG,MRT,9560.390896415776
AFG,MSR,14680.497230816316
